from,starting label,QID,label,depth,target
Q55680361,Oskar Reichel,Q73357989,Oskar Reichel,5,0
Q26221201,Two Diggers among Trees,Q50990573,Two Diggers among Trees,5,1
Q214867,National Gallery of Art,Q4015210,National Gallery of Art,3,1
Q55680361,Oskar Reichel,Q1792450,Oskar Reichel,5,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q56555894,Two Poplars in the Alpilles near Saint-Rémy,5,1
Q17277888,Gottlieb Friedrich Reber,Q2041543,Gottlieb Friedrich Reber,4,0
Q867510,Cypresses,Q81096,Cypresses,4,0
Q160236,Metropolitan Museum of Art,Q75318519,Metropolitan Museum of Art,4,0
Q160236,Metropolitan Museum of Art,Q75295047,Metropolitan Museum of Art,5,0
Q55680361,Oskar Reichel,Q104694359,Oskar Reichel,3,0
Q1634926,Hugo Cassirer,Q602358,Hugo Cassirer,5,0
Q55680361,Oskar Reichel,Q19885021,Oskar Reichel,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q49757,Two Poplars in the Alpilles near Saint-Rémy,5,0
Q104530765,Hugo Nathan,Q3181656,Hugo Nathan,5,0
Q160236,Metropolitan Museum of Art,Q7560690,Metropolitan Museum of Art,5,0
Q1634926,Hugo Cassirer,Q99413897,Hugo Cassirer,3,0
Q160236,Metropolitan Museum of Art,Q75580493,Metropolitan Museum of Art,3,0
Q74128,Alfred Flechtheim,Q855,Alfred Flechtheim,5,0
Q160236,Metropolitan Museum of Art,Q84603,Metropolitan Museum of Art,5,0
Q160236,Metropolitan Museum of Art,Q12912667,Metropolitan Museum of Art,3,0
Q657415,Cleveland Museum of Art,Q3181656,Cleveland Museum of Art,3,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q14942930,Two Poplars in the Alpilles near Saint-Rémy,5,1
Q160236,Metropolitan Museum of Art,Q232483,Metropolitan Museum of Art,5,0
Q214867,National Gallery of Art,Q193391,National Gallery of Art,3,0
Q160236,Metropolitan Museum of Art,Q7126304,Metropolitan Museum of Art,4,0
Q214867,National Gallery of Art,Q2041543,National Gallery of Art,5,0
Q160236,Metropolitan Museum of Art,Q88817706,Metropolitan Museum of Art,3,0
Q867510,Cypresses,Q1622272,Cypresses,4,0
Q26221201,Two Diggers among Trees,Q10732476,Two Diggers among Trees,2,1
Q657415,Cleveland Museum of Art,Q4086271,Cleveland Museum of Art,3,0
Q17277888,Gottlieb Friedrich Reber,Q72961007,Gottlieb Friedrich Reber,4,1
Q1201549,Detroit Institute of Arts,Q110322027,Detroit Institute of Arts,3,0
Q160236,Metropolitan Museum of Art,Q464626,Metropolitan Museum of Art,4,0
Q214867,National Gallery of Art,Q22954842,National Gallery of Art,5,0
Q214867,National Gallery of Art,Q2095549,National Gallery of Art,4,0
Q160236,Metropolitan Museum of Art,Q95948198,Metropolitan Museum of Art,5,0
Q17277888,Gottlieb Friedrich Reber,Q1970945,Gottlieb Friedrich Reber,4,1
Q160236,Metropolitan Museum of Art,Q379406,Metropolitan Museum of Art,5,0
Q156426,Alexej von Jawlensky,Q104694359,Alexej von Jawlensky,1,0
Q160236,Metropolitan Museum of Art,Q113752,Metropolitan Museum of Art,5,0
Q1634926,Hugo Cassirer,Q30335959,Hugo Cassirer,5,1
Q867510,Cypresses,Q15619234,Cypresses,4,1
Q867510,Cypresses,Q49757,Cypresses,3,0
Q160236,Metropolitan Museum of Art,Q3049525,Metropolitan Museum of Art,4,0
Q160236,Metropolitan Museum of Art,Q2735601,Metropolitan Museum of Art,5,0
Q867510,Cypresses,Q78161758,Cypresses,5,1
Q104530765,Hugo Nathan,Q82955,Hugo Nathan,5,0
Q29441758,Margarete Mauthner,Q67311526,Margarete Mauthner,3,0
Q1634926,Hugo Cassirer,Q21171699,Hugo Cassirer,4,1
Q21948567,Sunflowers,Q10800557,Sunflowers,5,0
Q657415,Cleveland Museum of Art,Q68074438,Cleveland Museum of Art,1,0
Q17277888,Gottlieb Friedrich Reber,Q212238,Gottlieb Friedrich Reber,4,0
Q74128,Alfred Flechtheim,Q1029706,Alfred Flechtheim,5,0
Q657415,Cleveland Museum of Art,Q76371779,Cleveland Museum of Art,5,1
Q1634926,Hugo Cassirer,Q19098835,Hugo Cassirer,5,0
Q17277888,Gottlieb Friedrich Reber,Q328376,Gottlieb Friedrich Reber,5,1
Q160236,Metropolitan Museum of Art,Q15709188,Metropolitan Museum of Art,5,0
Q1634926,Hugo Cassirer,Q67311526,Hugo Cassirer,3,0
Q160236,Metropolitan Museum of Art,Q69468,Metropolitan Museum of Art,5,0
Q17277888,Gottlieb Friedrich Reber,Q3181656,Gottlieb Friedrich Reber,4,0
Q324935,Ferenc Hatvany,Q10732476,Ferenc Hatvany,1,1
Q867510,Cypresses,Q7720110,Cypresses,4,0
Q17277888,Gottlieb Friedrich Reber,Q8458,Gottlieb Friedrich Reber,5,0
Q657415,Cleveland Museum of Art,Q139464,Cleveland Museum of Art,3,0
Q160236,Metropolitan Museum of Art,Q3189169,Metropolitan Museum of Art,4,0
Q160236,Metropolitan Museum of Art,Q21680663,Metropolitan Museum of Art,4,0
Q160236,Metropolitan Museum of Art,Q2453629,Metropolitan Museum of Art,3,0
Q1634926,Hugo Cassirer,Q776175,Hugo Cassirer,5,0
Q160236,Metropolitan Museum of Art,Q157103,Metropolitan Museum of Art,5,0
Q160236,Metropolitan Museum of Art,Q18223037,Metropolitan Museum of Art,3,1
Q214867,National Gallery of Art,Q1360663,National Gallery of Art,5,1
Q74128,Alfred Flechtheim,Q7933396,Alfred Flechtheim,1,1
Q17277888,Gottlieb Friedrich Reber,Q53438402,Gottlieb Friedrich Reber,5,0
Q17277888,Gottlieb Friedrich Reber,Q125634,Gottlieb Friedrich Reber,5,1
Q160236,Metropolitan Museum of Art,Q56857488,Metropolitan Museum of Art,5,0
Q104530765,Hugo Nathan,Q602358,Hugo Nathan,5,0
Q74128,Alfred Flechtheim,Q21753940,Alfred Flechtheim,5,1
Q867510,Cypresses,Q11455387,Cypresses,5,0
Q160236,Metropolitan Museum of Art,Q27980683,Metropolitan Museum of Art,5,0
Q867510,Cypresses,Q66362718,Cypresses,5,0
Q74128,Alfred Flechtheim,Q36180,Alfred Flechtheim,3,0
Q867510,Cypresses,Q28035859,Cypresses,2,1
Q5147536,Josef Feinhals,Q33231,Josef Feinhals,2,0
Q74128,Alfred Flechtheim,Q47530987,Alfred Flechtheim,5,1
Q21948567,Sunflowers,Q19502360,Sunflowers,4,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q78060740,Two Poplars in the Alpilles near Saint-Rémy,5,1
Q160236,Metropolitan Museum of Art,Q4164507,Metropolitan Museum of Art,5,1
Q214867,National Gallery of Art,Q437295,National Gallery of Art,2,0
Q214867,National Gallery of Art,Q19219752,National Gallery of Art,4,0
Q160236,Metropolitan Museum of Art,Q16197448,Metropolitan Museum of Art,2,0
Q1634926,Hugo Cassirer,Q81096,Hugo Cassirer,1,0
Q160236,Metropolitan Museum of Art,Q21550489,Metropolitan Museum of Art,5,0
Q1634926,Hugo Cassirer,Q1630100,Hugo Cassirer,5,0
Q55680361,Oskar Reichel,Q7933396,Oskar Reichel,3,1
Q160236,Metropolitan Museum of Art,Q76314389,Metropolitan Museum of Art,5,0
Q160236,Metropolitan Museum of Art,Q84632,Metropolitan Museum of Art,3,0
Q867510,Cypresses,Q99413897,Cypresses,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q8458,Two Poplars in the Alpilles near Saint-Rémy,4,0
Q160236,Metropolitan Museum of Art,Q1622272,Metropolitan Museum of Art,3,0
Q160236,Metropolitan Museum of Art,Q48525,Metropolitan Museum of Art,5,0
Q1634926,Hugo Cassirer,Q964608,Hugo Cassirer,4,1
Q160236,Metropolitan Museum of Art,Q87748614,Metropolitan Museum of Art,3,0
Q160236,Metropolitan Museum of Art,Q333634,Metropolitan Museum of Art,4,0
Q160236,Metropolitan Museum of Art,Q3159990,Metropolitan Museum of Art,4,1
Q17277888,Gottlieb Friedrich Reber,Q901402,Gottlieb Friedrich Reber,5,0
Q104530765,Hugo Nathan,Q15619234,Hugo Nathan,5,1
Q26221201,Two Diggers among Trees,Q55647114,Two Diggers among Trees,5,0
Q657415,Cleveland Museum of Art,Q2567431,Cleveland Museum of Art,4,1
Q160236,Metropolitan Museum of Art,Q318815,Metropolitan Museum of Art,5,1
Q160236,Metropolitan Museum of Art,Q39931,Metropolitan Museum of Art,2,1
Q74128,Alfred Flechtheim,Q85095826,Alfred Flechtheim,3,1
Q214867,National Gallery of Art,Q3181656,National Gallery of Art,5,0
Q214867,National Gallery of Art,Q49213654,National Gallery of Art,5,0
Q17277888,Gottlieb Friedrich Reber,Q1810348,Gottlieb Friedrich Reber,4,1
Q17277888,Gottlieb Friedrich Reber,Q75837445,Gottlieb Friedrich Reber,5,1
Q160236,Metropolitan Museum of Art,Q2837972,Metropolitan Museum of Art,4,0
Q74128,Alfred Flechtheim,Q1568434,Alfred Flechtheim,4,1
Q1634926,Hugo Cassirer,Q104694359,Hugo Cassirer,3,0
Q74128,Alfred Flechtheim,Q19754135,Alfred Flechtheim,2,1
Q160236,Metropolitan Museum of Art,Q826482,Metropolitan Museum of Art,4,1
Q17277888,Gottlieb Friedrich Reber,Q21069797,Gottlieb Friedrich Reber,5,1
Q55680361,Oskar Reichel,Q19883952,Oskar Reichel,5,1
Q214867,National Gallery of Art,Q116,National Gallery of Art,5,0
Q160236,Metropolitan Museum of Art,Q47035109,Metropolitan Museum of Art,5,1
Q214867,National Gallery of Art,Q106727050,National Gallery of Art,3,1
Q1634926,Hugo Cassirer,Q19924921,Hugo Cassirer,5,0
Q104530765,Hugo Nathan,Q173950,Hugo Nathan,3,1
Q104530765,Hugo Nathan,Q10732476,Hugo Nathan,1,1
Q17277888,Gottlieb Friedrich Reber,Q1622272,Gottlieb Friedrich Reber,4,0
Q160236,Metropolitan Museum of Art,Q359047,Metropolitan Museum of Art,4,1
Q324935,Ferenc Hatvany,Q20178788,Ferenc Hatvany,1,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q94764626,Two Poplars in the Alpilles near Saint-Rémy,2,1
Q666331,Foundation E.G. Bührle Collection,Q98801351,Foundation E.G. Bührle Collection,3,1
Q160236,Metropolitan Museum of Art,Q3837491,Metropolitan Museum of Art,5,0
Q17277888,Gottlieb Friedrich Reber,Q47064,Gottlieb Friedrich Reber,4,0
Q160236,Metropolitan Museum of Art,Q107177051,Metropolitan Museum of Art,3,1
Q867510,Cypresses,Q80317,Cypresses,5,1
Q20178788,Still Life with Apples,Q806798,Still Life with Apples,3,0
Q160236,Metropolitan Museum of Art,Q1461848,Metropolitan Museum of Art,5,1
Q867510,Cypresses,Q18745022,Cypresses,4,1
Q214867,National Gallery of Art,Q18602666,National Gallery of Art,5,1
Q160236,Metropolitan Museum of Art,Q7964251,Metropolitan Museum of Art,5,1
Q104530765,Hugo Nathan,Q58433306,Hugo Nathan,5,1
Q160236,Metropolitan Museum of Art,Q2374149,Metropolitan Museum of Art,5,0
Q160236,Metropolitan Museum of Art,Q20442391,Metropolitan Museum of Art,5,1
Q214867,National Gallery of Art,Q766863,National Gallery of Art,2,1
Q160236,Metropolitan Museum of Art,Q20268530,Metropolitan Museum of Art,3,0
Q214867,National Gallery of Art,Q20080422,National Gallery of Art,4,1
Q160236,Metropolitan Museum of Art,Q3937681,Metropolitan Museum of Art,1,0
Q74128,Alfred Flechtheim,Q18030849,Alfred Flechtheim,5,1
Q160236,Metropolitan Museum of Art,Q260550,Metropolitan Museum of Art,5,0
Q160236,Metropolitan Museum of Art,Q161199,Metropolitan Museum of Art,3,0
Q1634926,Hugo Cassirer,Q2095549,Hugo Cassirer,5,0
Q867510,Cypresses,Q1925963,Cypresses,4,0
Q21948567,Sunflowers,Q21069797,Sunflowers,5,1
Q104530765,Hugo Nathan,Q36180,Hugo Nathan,5,0
Q1634926,Hugo Cassirer,Q19820423,Hugo Cassirer,5,0
Q1634926,Hugo Cassirer,Q20771242,Hugo Cassirer,5,1
Q214867,National Gallery of Art,Q62576151,National Gallery of Art,5,0
Q160236,Metropolitan Museum of Art,Q36180,Metropolitan Museum of Art,3,0
Q867510,Cypresses,Q1607826,Cypresses,5,0
Q160236,Metropolitan Museum of Art,Q11774156,Metropolitan Museum of Art,4,0
Q324935,Ferenc Hatvany,Q1970746,Ferenc Hatvany,4,0
Q160236,Metropolitan Museum of Art,Q627325,Metropolitan Museum of Art,4,0
Q214867,National Gallery of Art,Q446858,National Gallery of Art,2,1
Q74128,Alfred Flechtheim,Q21711845,Alfred Flechtheim,5,1
Q160236,Metropolitan Museum of Art,Q1210353,Metropolitan Museum of Art,5,0
Q214867,National Gallery of Art,Q665807,National Gallery of Art,3,0
Q867510,Cypresses,Q657415,Cypresses,3,1
Q160236,Metropolitan Museum of Art,Q602358,Metropolitan Museum of Art,3,0
Q1634926,Hugo Cassirer,Q214917,Hugo Cassirer,3,0
Q5147536,Josef Feinhals,Q108837588,Josef Feinhals,2,1
Q160236,Metropolitan Museum of Art,Q47001605,Metropolitan Museum of Art,4,1
Q160236,Metropolitan Museum of Art,Q5046521,Metropolitan Museum of Art,4,1
Q160236,Metropolitan Museum of Art,Q42603,Metropolitan Museum of Art,4,0
Q160236,Metropolitan Museum of Art,Q18760265,Metropolitan Museum of Art,3,0
Q160236,Metropolitan Museum of Art,Q24909800,Metropolitan Museum of Art,3,1
Q160236,Metropolitan Museum of Art,Q19211082,Metropolitan Museum of Art,3,0
Q160236,Metropolitan Museum of Art,Q62885,Metropolitan Museum of Art,2,0
Q1634926,Hugo Cassirer,Q2544162,Hugo Cassirer,4,1
Q160236,Metropolitan Museum of Art,Q113262,Metropolitan Museum of Art,1,0
Q74128,Alfred Flechtheim,Q17378135,Alfred Flechtheim,5,0
Q160236,Metropolitan Museum of Art,Q1607826,Metropolitan Museum of Art,4,0
Q104530765,Hugo Nathan,Q18347243,Hugo Nathan,4,1
Q74128,Alfred Flechtheim,Q106874309,Alfred Flechtheim,5,1
Q74128,Alfred Flechtheim,Q1371378,Alfred Flechtheim,3,0
Q74128,Alfred Flechtheim,Q58328672,Alfred Flechtheim,2,1
Q160236,Metropolitan Museum of Art,Q275569,Metropolitan Museum of Art,5,1
Q1634926,Hugo Cassirer,Q4086271,Hugo Cassirer,5,0
Q104530765,Hugo Nathan,Q33231,Hugo Nathan,5,0
Q867510,Cypresses,Q12954454,Cypresses,4,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q173950,Two Poplars in the Alpilles near Saint-Rémy,2,1
Q160236,Metropolitan Museum of Art,Q27978238,Metropolitan Museum of Art,5,0
Q160236,Metropolitan Museum of Art,Q60469188,Metropolitan Museum of Art,3,1
Q160236,Metropolitan Museum of Art,Q26718316,Metropolitan Museum of Art,5,0
Q160236,Metropolitan Museum of Art,Q56816048,Metropolitan Museum of Art,5,1
Q1634926,Hugo Cassirer,Q14623005,Hugo Cassirer,5,0
Q160236,Metropolitan Museum of Art,Q518966,Metropolitan Museum of Art,3,0
Q160236,Metropolitan Museum of Art,Q76513772,Metropolitan Museum of Art,5,1
Q3783572,Harvard Art Museums,Q106727050,Harvard Art Museums,5,1
Q74128,Alfred Flechtheim,Q328376,Alfred Flechtheim,5,1
Q74128,Alfred Flechtheim,Q20183867,Alfred Flechtheim,3,1
Q1634926,Hugo Cassirer,Q28790437,Hugo Cassirer,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q13382529,Two Poplars in the Alpilles near Saint-Rémy,3,0
Q160236,Metropolitan Museum of Art,Q166886,Metropolitan Museum of Art,5,0
Q17277888,Gottlieb Friedrich Reber,Q51037488,Gottlieb Friedrich Reber,2,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q66362718,Two Poplars in the Alpilles near Saint-Rémy,3,0
Q160236,Metropolitan Museum of Art,Q233471,Metropolitan Museum of Art,4,0
Q3783572,Harvard Art Museums,Q2041543,Harvard Art Museums,2,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q3148760,Two Poplars in the Alpilles near Saint-Rémy,5,0
Q160236,Metropolitan Museum of Art,Q4091878,Metropolitan Museum of Art,4,0
Q214867,National Gallery of Art,Q3345156,National Gallery of Art,5,0
Q104530765,Hugo Nathan,Q17254907,Hugo Nathan,4,1
Q1634926,Hugo Cassirer,Q55656666,Hugo Cassirer,5,1
Q160236,Metropolitan Museum of Art,Q166768,Metropolitan Museum of Art,5,0
Q69860245,Mór Lipót Herzog,Q43845,Mór Lipót Herzog,1,0
Q160236,Metropolitan Museum of Art,Q8016,Metropolitan Museum of Art,4,0
Q867510,Cypresses,Q215626,Cypresses,4,1
Q74128,Alfred Flechtheim,Q20539227,Alfred Flechtheim,3,1
Q160236,Metropolitan Museum of Art,Q1760539,Metropolitan Museum of Art,5,1
Q160236,Metropolitan Museum of Art,Q944225,Metropolitan Museum of Art,5,0
Q867510,Cypresses,Q4114391,Cypresses,4,0
Q55680361,Oskar Reichel,Q15958642,Oskar Reichel,5,0
Q26221201,Two Diggers among Trees,Q3568152,Two Diggers among Trees,5,1
Q74128,Alfred Flechtheim,Q76371784,Alfred Flechtheim,5,1
Q1634926,Hugo Cassirer,Q1768721,Hugo Cassirer,4,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q18223037,Two Poplars in the Alpilles near Saint-Rémy,5,1
Q17277888,Gottlieb Friedrich Reber,Q2095549,Gottlieb Friedrich Reber,2,0
Q55680361,Oskar Reichel,Q20553562,Oskar Reichel,1,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q67311526,Two Poplars in the Alpilles near Saint-Rémy,4,0
Q17277888,Gottlieb Friedrich Reber,Q5375476,Gottlieb Friedrich Reber,4,1
Q74128,Alfred Flechtheim,Q106787730,Alfred Flechtheim,5,0
Q160236,Metropolitan Museum of Art,Q1768721,Metropolitan Museum of Art,3,0
Q214867,National Gallery of Art,Q1186818,National Gallery of Art,5,0
Q160236,Metropolitan Museum of Art,Q18699918,Metropolitan Museum of Art,2,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q2041543,Two Poplars in the Alpilles near Saint-Rémy,5,0
Q21948567,Sunflowers,Q8246794,Sunflowers,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q1086863,Two Poplars in the Alpilles near Saint-Rémy,5,0
Q21948567,Sunflowers,Q102413149,Sunflowers,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q109354198,Two Poplars in the Alpilles near Saint-Rémy,2,1
Q156426,Alexej von Jawlensky,Q4109309,Alexej von Jawlensky,2,0
Q214867,National Gallery of Art,Q18379827,National Gallery of Art,5,0
Q160236,Metropolitan Museum of Art,Q150652,Metropolitan Museum of Art,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q67138112,Two Poplars in the Alpilles near Saint-Rémy,4,1
Q214867,National Gallery of Art,Q3108260,National Gallery of Art,3,1
Q160236,Metropolitan Museum of Art,Q166198,Metropolitan Museum of Art,4,0
Q867510,Cypresses,Q26221228,Cypresses,5,1
Q74128,Alfred Flechtheim,Q2554450,Alfred Flechtheim,2,1
Q74128,Alfred Flechtheim,Q21888081,Alfred Flechtheim,5,1
Q214867,National Gallery of Art,Q82955,National Gallery of Art,3,0
Q160236,Metropolitan Museum of Art,Q4086271,Metropolitan Museum of Art,3,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q4164507,Two Poplars in the Alpilles near Saint-Rémy,4,1
Q74128,Alfred Flechtheim,Q60045,Alfred Flechtheim,5,0
Q160236,Metropolitan Museum of Art,Q28860117,Metropolitan Museum of Art,2,0
Q160236,Metropolitan Museum of Art,Q75385520,Metropolitan Museum of Art,4,0
Q214867,National Gallery of Art,Q2871551,National Gallery of Art,5,0
Q160236,Metropolitan Museum of Art,Q98831742,Metropolitan Museum of Art,3,0
Q214867,National Gallery of Art,Q40599,National Gallery of Art,4,1
Q160236,Metropolitan Museum of Art,Q105802405,Metropolitan Museum of Art,4,0
Q1634926,Hugo Cassirer,Q1868065,Hugo Cassirer,5,0
Q1634926,Hugo Cassirer,Q40023372,Hugo Cassirer,4,1
Q160236,Metropolitan Museum of Art,Q35134777,Metropolitan Museum of Art,4,1
Q867510,Cypresses,Q3568152,Cypresses,5,1
Q104530765,Hugo Nathan,Q60729883,Hugo Nathan,4,0
Q74128,Alfred Flechtheim,Q105873816,Alfred Flechtheim,5,1
Q1634926,Hugo Cassirer,Q1414443,Hugo Cassirer,3,0
Q160236,Metropolitan Museum of Art,Q49757,Metropolitan Museum of Art,3,0
Q160236,Metropolitan Museum of Art,Q524451,Metropolitan Museum of Art,4,0
Q160236,Metropolitan Museum of Art,Q507156,Metropolitan Museum of Art,5,0
Q17277888,Gottlieb Friedrich Reber,Q16947320,Gottlieb Friedrich Reber,5,0
Q29441758,Margarete Mauthner,Q215626,Margarete Mauthner,5,1
Q160236,Metropolitan Museum of Art,Q302556,Metropolitan Museum of Art,4,0
Q867510,Cypresses,Q107676574,Cypresses,3,1
Q160236,Metropolitan Museum of Art,Q19960628,Metropolitan Museum of Art,4,0
Q3783572,Harvard Art Museums,Q19180675,Harvard Art Museums,5,0
Q160236,Metropolitan Museum of Art,Q18891157,Metropolitan Museum of Art,5,1
Q104530765,Hugo Nathan,Q83874292,Hugo Nathan,4,1
Q160236,Metropolitan Museum of Art,Q75391593,Metropolitan Museum of Art,3,0
Q74128,Alfred Flechtheim,Q109354198,Alfred Flechtheim,1,1
Q1634926,Hugo Cassirer,Q1186818,Hugo Cassirer,5,0
Q214867,National Gallery of Art,Q19180675,National Gallery of Art,3,0
Q29441758,Margarete Mauthner,Q60514834,Margarete Mauthner,5,1
Q104530765,Hugo Nathan,Q20735394,Hugo Nathan,5,1
Q160236,Metropolitan Museum of Art,Q363383,Metropolitan Museum of Art,3,1
Q17277888,Gottlieb Friedrich Reber,Q19180675,Gottlieb Friedrich Reber,4,0
Q160236,Metropolitan Museum of Art,Q154444,Metropolitan Museum of Art,5,0
Q17277888,Gottlieb Friedrich Reber,Q12362622,Gottlieb Friedrich Reber,3,0
Q160236,Metropolitan Museum of Art,Q312819,Metropolitan Museum of Art,4,0
Q17277888,Gottlieb Friedrich Reber,Q39931,Gottlieb Friedrich Reber,5,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q20010400,Two Poplars in the Alpilles near Saint-Rémy,5,0
Q160236,Metropolitan Museum of Art,Q663913,Metropolitan Museum of Art,5,1
Q104530765,Hugo Nathan,Q19502360,Hugo Nathan,4,1
Q29441758,Margarete Mauthner,Q58488719,Margarete Mauthner,5,1
Q160236,Metropolitan Museum of Art,Q19913374,Metropolitan Museum of Art,3,1
Q657415,Cleveland Museum of Art,Q19098835,Cleveland Museum of Art,3,0
Q160236,Metropolitan Museum of Art,Q8026087,Metropolitan Museum of Art,5,0
Q17277888,Gottlieb Friedrich Reber,Q20078554,Gottlieb Friedrich Reber,5,0
Q74128,Alfred Flechtheim,Q20087533,Alfred Flechtheim,5,1
Q160236,Metropolitan Museum of Art,Q66660783,Metropolitan Museum of Art,4,0
Q104530765,Hugo Nathan,Q3175096,Hugo Nathan,5,1
Q160236,Metropolitan Museum of Art,Q2528876,Metropolitan Museum of Art,5,0
Q74128,Alfred Flechtheim,Q1706617,Alfred Flechtheim,5,0
Q1634926,Hugo Cassirer,Q19906011,Hugo Cassirer,5,1
Q21948567,Sunflowers,Q11822840,Sunflowers,5,0
Q21948567,Sunflowers,Q867510,Sunflowers,5,1
Q160236,Metropolitan Museum of Art,Q76099630,Metropolitan Museum of Art,5,0
Q74128,Alfred Flechtheim,Q19190511,Alfred Flechtheim,5,0
Q160236,Metropolitan Museum of Art,Q55185760,Metropolitan Museum of Art,4,0
Q160236,Metropolitan Museum of Art,Q44139,Metropolitan Museum of Art,2,1
Q104530765,Hugo Nathan,Q1768721,Hugo Nathan,5,0
Q104530765,Hugo Nathan,Q21785872,Hugo Nathan,3,1
Q104530765,Hugo Nathan,Q28848149,Hugo Nathan,3,1
Q160236,Metropolitan Museum of Art,Q173950,Metropolitan Museum of Art,3,1
Q69860245,Mór Lipót Herzog,Q10732476,Mór Lipót Herzog,1,1
Q214867,National Gallery of Art,Q14623005,National Gallery of Art,5,0
Q160236,Metropolitan Museum of Art,Q333601,Metropolitan Museum of Art,3,0
Q160236,Metropolitan Museum of Art,Q19904848,Metropolitan Museum of Art,3,1
Q74128,Alfred Flechtheim,Q455,Alfred Flechtheim,5,0
Q17277888,Gottlieb Friedrich Reber,Q20275618,Gottlieb Friedrich Reber,5,1
Q160236,Metropolitan Museum of Art,Q220859,Metropolitan Museum of Art,5,0
Q214867,National Gallery of Art,Q3391743,National Gallery of Art,5,0
Q17277888,Gottlieb Friedrich Reber,Q1066835,Gottlieb Friedrich Reber,5,0
Q867510,Cypresses,Q55647114,Cypresses,5,0
Q74128,Alfred Flechtheim,Q51722332,Alfred Flechtheim,5,1
Q74128,Alfred Flechtheim,Q23062739,Alfred Flechtheim,2,1
Q1634926,Hugo Cassirer,Q160236,Hugo Cassirer,4,1
Q26221201,Two Diggers among Trees,Q19502360,Two Diggers among Trees,5,1
Q160236,Metropolitan Museum of Art,Q1630100,Metropolitan Museum of Art,4,0
Q160236,Metropolitan Museum of Art,Q234442,Metropolitan Museum of Art,4,0
Q26221201,Two Diggers among Trees,Q28848149,Two Diggers among Trees,4,1
Q214867,National Gallery of Art,Q47906,National Gallery of Art,3,1
Q160236,Metropolitan Museum of Art,Q5594505,Metropolitan Museum of Art,3,0
Q104530765,Hugo Nathan,Q16000367,Hugo Nathan,4,0
Q1634926,Hugo Cassirer,Q326503,Hugo Cassirer,5,1
Q867510,Cypresses,Q61294807,Cypresses,5,0
Q55680361,Oskar Reichel,Q106866308,Oskar Reichel,5,1
Q160236,Metropolitan Museum of Art,Q55656666,Metropolitan Museum of Art,1,1
Q160236,Metropolitan Museum of Art,Q328376,Metropolitan Museum of Art,5,1
Q160236,Metropolitan Museum of Art,Q496,Metropolitan Museum of Art,2,0
Q214867,National Gallery of Art,Q3451370,National Gallery of Art,5,0
Q160236,Metropolitan Museum of Art,Q13423107,Metropolitan Museum of Art,5,0
Q214867,National Gallery of Art,Q864380,National Gallery of Art,3,0
Q104530765,Hugo Nathan,Q87842429,Hugo Nathan,5,1
Q160236,Metropolitan Museum of Art,Q333347,Metropolitan Museum of Art,4,0
Q160236,Metropolitan Museum of Art,Q19913201,Metropolitan Museum of Art,3,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q19502360,Two Poplars in the Alpilles near Saint-Rémy,4,1
Q17277888,Gottlieb Friedrich Reber,Q2657718,Gottlieb Friedrich Reber,2,0
Q160236,Metropolitan Museum of Art,Q17277888,Metropolitan Museum of Art,5,1
Q160236,Metropolitan Museum of Art,Q110356591,Metropolitan Museum of Art,5,1
Q74128,Alfred Flechtheim,Q20771242,Alfred Flechtheim,3,1
Q160236,Metropolitan Museum of Art,Q17010072,Metropolitan Museum of Art,5,0
Q55680361,Oskar Reichel,Q328376,Oskar Reichel,5,1
Q214867,National Gallery of Art,Q524534,National Gallery of Art,4,0
Q74128,Alfred Flechtheim,Q2041543,Alfred Flechtheim,5,0
Q160236,Metropolitan Museum of Art,Q4210134,Metropolitan Museum of Art,5,0
Q1634926,Hugo Cassirer,Q43845,Hugo Cassirer,3,0
Q160236,Metropolitan Museum of Art,Q84798010,Metropolitan Museum of Art,5,0
Q55680361,Oskar Reichel,Q7319,Oskar Reichel,5,1
Q657415,Cleveland Museum of Art,Q19180675,Cleveland Museum of Art,3,0
Q1634926,Hugo Cassirer,Q48976445,Hugo Cassirer,5,1
Q160236,Metropolitan Museum of Art,Q2185351,Metropolitan Museum of Art,5,0
